[2021-06-07 14:14:01,899]-[TestLink]-INFO: 正在下载数据，请耐心等待...
[2021-06-07 14:14:04,533]-[TestLink]-INFO: 用例集:【课程打卡0元读】下载成功，文件保存于download目录
[2021-06-07 14:53:26,139]-[TestLink]-INFO: 正在下载数据，请耐心等待...
[2021-06-07 14:53:28,459]-[TestLink]-INFO: 用例集:【课程打卡0元读】下载成功，文件保存于download目录
[2021-06-07 14:53:55,961]-[TestLink]-INFO: 正在下载数据，请耐心等待...
[2021-06-07 14:53:58,946]-[TestLink]-INFO: 用例集:【课程打卡0元读】下载成功，文件保存于download目录
[2021-06-07 14:55:03,529]-[TestLink]-INFO: 正在下载数据，请耐心等待...
[2021-06-07 14:55:06,260]-[TestLink]-INFO: 用例集:【课程打卡0元读】下载成功，文件保存于download目录
[2021-06-07 14:58:06,024]-[TestLink]-INFO: 正在下载数据，请耐心等待...
[2021-06-07 14:58:08,567]-[TestLink]-INFO: 用例集:【课程打卡0元读】下载成功，文件保存于download目录
[2021-06-07 15:00:44,628]-[TestLink]-INFO: 正在下载数据，请耐心等待...
[2021-06-07 15:00:47,179]-[TestLink]-INFO: 用例集:【课程打卡0元读】下载成功，文件保存于download目录
[2021-06-07 15:14:28,041]-[TestLink]-INFO: 正在下载数据，请耐心等待...
[2021-06-07 15:14:31,938]-[TestLink]-INFO: 用例集:【课程打卡0元读】下载成功，文件保存于download目录
[2021-06-07 15:15:28,785]-[TestLink]-INFO: 正在下载数据，请耐心等待...
[2021-06-07 15:15:32,044]-[TestLink]-INFO: 用例集:【课程打卡0元读】下载成功，文件保存于download目录
[2021-06-07 15:16:46,906]-[TestLink]-INFO: 正在下载数据，请耐心等待...
[2021-06-07 15:16:49,033]-[TestLink]-INFO: 用例集:【课程打卡0元读】下载成功，文件保存于download目录
[2021-06-07 15:17:42,362]-[TestLink]-INFO: 正在下载数据，请耐心等待...
[2021-06-07 15:17:45,029]-[TestLink]-INFO: 用例集:【课程打卡0元读】下载成功，文件保存于download目录
[2021-06-07 15:18:56,232]-[TestLink]-INFO: 正在下载数据，请耐心等待...
[2021-06-07 15:18:58,831]-[TestLink]-INFO: 用例集:【课程打卡0元读】下载成功，文件保存于download目录
[2021-06-07 17:30:32,826]-[TestLink]-INFO: 正在下载数据，请耐心等待...
[2021-06-07 17:30:35,219]-[TestLink]-INFO: 用例集:【课程打卡0元读】下载成功，文件保存于download目录
[2021-06-07 17:43:39,539]-[TestLink]-INFO: 正在下载数据，请耐心等待...
[2021-06-07 17:43:42,520]-[TestLink]-INFO: 用例集:【课程打卡0元读】下载成功，文件保存于download目录
[2021-06-07 18:22:09,995]-[TestLink]-INFO: 正在下载数据，请耐心等待...
[2021-06-07 18:22:44,804]-[TestLink]-INFO: 用例集:【课程打卡0元读】下载成功，文件保存于download目录
